episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
1,100,112.33339,112.33339,12.17913,38,25.5628,0.76287,0.0,0.0,0.23713,9.0,0.94659,0.5638,0.38279,0.05341,1.0,0,3,0,5,40.14422,0.3936,31.34163
2,100,275.66677,163.33338,3.01168,50,39.02681,0.79198,0.0,0.07643,0.1316,32.0,0.95102,0.5102,0.44082,0.04898,1.0,0,4,0,22,127.31538,0.5503,42.95196
3,100,414.83349,139.16672,0.41862,42,31.6054,0.6838,0.0,0.16868,0.14752,15.0,0.94251,0.49701,0.44551,0.05749,1.0,0,4,0,20,190.67649,1.01899,43.99879
4,100,525.16689,110.3334,0.39462,33,29.44269,0.94547,0.0,0.01204,0.04248,14.0,0.94562,0.48338,0.46224,0.05438,1.0,0,3,0,18,243.52862,0.31012,42.61947
5,100,636.00028,110.8334,0.39148,34,29.42461,0.75568,0.0,0.18881,0.05551,14.0,0.92782,0.50376,0.42406,0.07218,1.0,0,4,0,13,208.67673,0.20292,49.37681
6,100,721.16702,85.16673,0.51473,21,19.60332,0.84851,0.0,0.15149,0.0,6.0,0.74168,0.40117,0.34051,0.25832,1.0,0,11,0,8,259.62747,0.0,54.64541
7,100,819.83375,98.66673,0.41503,25,23.26548,0.85546,0.0,0.14454,0.0,14.0,0.81757,0.4223,0.39527,0.18243,1.0,0,9,0,14,209.34576,0.0,52.20305
8,100,941.16714,121.33339,0.35462,36,33.96255,0.95639,0.0,0.04361,0.0,19.0,0.91758,0.48077,0.43681,0.08242,1.0,0,5,0,17,266.60568,0.0,53.86612
9,100,1059.33387,118.16673,0.40512,33,31.21205,0.9753,0.0,0.0247,0.0,22.0,0.88152,0.45839,0.42313,0.11848,1.0,0,7,0,17,346.25766,0.0,53.08197
10,100,1169.33394,110.00006,0.53828,30,28.27617,0.73787,0.0,0.26213,0.0,7.0,0.89091,0.45455,0.43636,0.10909,1.0,0,6,0,18,358.78721,0.0,47.10199
11,100,1263.334,94.00007,0.48596,27,25.2897,0.83996,0.0,0.16004,0.0,13.0,0.87234,0.47872,0.39362,0.12766,1.0,0,6,0,10,324.52713,0.0,53.82801
12,100,1345.16741,81.8334,0.4675,19,18.00687,0.80593,0.0,0.19407,0.0,7.0,0.73116,0.37678,0.35438,0.26884,1.0,0,11,0,10,300.88403,0.0,53.04916
13,100,1446.5008,101.3334,0.38682,27,25.43298,0.86816,0.0,0.13184,0.0,18.0,0.8421,0.42763,0.41447,0.15789,1.0,0,8,0,15,297.95538,0.0,50.15694
14,100,1529.66754,83.16674,0.50776,21,19.7466,0.875,0.0,0.125,0.0,10.0,0.78357,0.41082,0.37275,0.21643,1.0,0,9,0,10,265.61123,0.0,51.07988
15,100,1612.83428,83.16673,0.4665,18,16.90341,0.97578,0.0,0.02422,0.0,11.0,0.66333,0.3507,0.31262,0.33667,1.0,0,14,0,8,288.28796,0.0,53.06319
16,100,1735.501,122.66673,0.40474,35,31.5635,0.96587,0.0,0.0,0.03413,18.0,0.90217,0.46196,0.44022,0.09783,1.0,0,6,0,19,318.49896,0.18139,50.14532
17,100,1837.50107,102.00007,0.42492,30,27.18939,0.8143,0.0,0.14941,0.03629,13.0,0.90196,0.4902,0.41176,0.09804,1.0,0,5,0,12,389.50875,0.40708,55.92497
18,100,1939.33446,101.8334,0.46235,28,25.57587,0.65288,0.0,0.33845,0.00867,13.0,0.86252,0.45008,0.41244,0.13748,1.0,0,7,0,14,291.09843,0.12761,55.90649
19,100,2054.33453,115.00006,0.45714,33,30.71794,0.83885,0.0,0.16115,0.0,15.0,0.91304,0.47826,0.43478,0.08696,1.0,0,5,0,17,342.40477,0.0,54.96423
20,100,2116.66793,62.33341,0.46665,11,9.9942,0.625,0.0,0.375,0.0,2.0,0.5508,0.29412,0.25668,0.4492,1.0,0,14,0,5,548.76522,0.0,55.97673
21,100,2180.00134,63.33341,0.4695,11,9.88762,0.54604,0.0,0.45396,0.0,9.0,0.55789,0.28947,0.26842,0.4421,1.0,0,14,0,6,413.54318,0.0,55.03731
22,100,2259.66808,79.66674,0.45432,19,18.00687,0.75375,0.0,0.24625,0.0,6.0,0.74895,0.39749,0.35146,0.25105,1.0,0,10,0,9,426.27205,0.0,55.98553
23,100,2356.39562,96.72754,0.32239,14,12.85703,0.75,0.0,0.25,0.0,9.0,0.45833,0.24123,0.2171,0.54167,1.0,0,13,0,7,448.72684,0.0,56.02697
24,100,2425.06236,68.66674,0.4166,14,12.96921,0.71068,0.0,0.28932,0.0,7.0,0.62136,0.31553,0.30582,0.37864,1.0,0,13,0,7,462.24411,0.0,55.97218
25,100,2472.56244,47.50008,0.4293,5,4.73865,0.69902,0.0,0.30098,0.0,1.0,0.32632,0.15789,0.16842,0.67368,1.0,0,16,0,3,449.88636,0.0,55.0093
26,100,2555.22918,82.66674,0.46013,19,17.63099,0.67208,0.0,0.32792,0.0,13.0,0.73387,0.38306,0.35081,0.26613,1.0,0,11,0,10,450.57261,0.0,54.03781
27,100,2633.22925,78.00007,0.44469,18,17.05914,0.625,0.0,0.375,0.0,6.0,0.71795,0.38462,0.33333,0.28205,1.0,0,11,0,8,367.82634,0.0,55.96108
28,100,2692.06266,58.83341,0.40268,10,9.00868,0.59179,0.0,0.40821,0.0,5.0,0.52408,0.26912,0.25496,0.47592,1.0,0,14,0,5,439.99468,0.0,56.00338
29,100,2772.84302,80.78036,0.35007,13,11.76837,0.393,0.0,0.607,0.0,7.0,0.50549,0.2579,0.24758,0.49451,1.0,0,15,0,7,337.70002,0.0,55.03744
30,100,2845.17643,72.33341,0.50099,15,13.36442,0.56917,0.0,0.43083,0.0,9.0,0.64055,0.32258,0.31797,0.35945,1.0,0,13,0,8,419.29019,0.0,54.04599
31,100,2916.00984,70.83341,0.43782,15,13.78512,0.7271,0.0,0.2729,0.0,7.0,0.68941,0.36471,0.32471,0.31059,1.0,0,11,1,7,566.04656,0.0,55.9823
32,100,2981.49581,65.48598,0.40167,11,10.2693,0.86266,0.0,0.13734,0.0,5.0,0.52429,0.27996,0.24433,0.47571,1.0,0,13,0,5,447.39854,0.0,56.97649
